id,name,description,context,version,provider,status,production_endpoint,enable_CORS,accessControlAllowHeaders,accessControlAllowMethods,authType,application_name,isDefaultVersion,intial_Duration,maxDuration,Timeout_Duration
68a77643-46f4-4a98-ae72-4baea276befa,AgentSubmitTransfer,null,/AgentSubmitTransfer,1.0,admin,PUBLISHED,null,false,,,,,false,,,
14967204-6ce8-45fc-af58-6dcb11e0e7ca,AlfrescoApi,null,/AlfrescoApi,1.0,admin,PUBLISHED,null,false,,,,CIMB-Application CSVApplication DefaultApplication  ,false,,,
cf434101-23b7-418e-9695-50eb7e7b04b5,Alterate-insertAddress,Alterate-insertAddress,/AlterateWs/rest/alterate/insertaddress,1.0,admin,PUBLISHED,null,false,,,,Alterate ,false,,,
a4fb3ae9-67d1-407a-af42-04c2a634ed2c,AMLO_Checking,null,/AMLO_Checking,1.0,admin,PUBLISHED,null,false,,,,AMLOapplication ,false,,,
9bf3ccec-c2d5-40f9-ae15-3242a633106f,API_DDC,API_DDC,/API_DDC/rest/insertCaseApplication/caseapp,1.0,admin,PUBLISHED,null,false,,,,,false,,,
a434a0ac-7ad0-48a4-849d-a2b164e44304,API_DDC_ECOM,API_DDC_ECOM,/API_DDC/rest/insertCaseApplication/caseappEcom,1.0,admin,PUBLISHED,null,false,,,,CoreRestWS  ,false,,,
525f18fd-ca26-4e7b-9131-0dc9cb205276,APIblacklistService,null,/APIblacklistService,1.0,admin,PUBLISHED,null,false,,,,ClaimBlacklist ,false,,,
b2cd5719-5242-4adf-88a0-49e6bb6fb451,APICheckDataLegal,null,/request/checkdatalegal,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
ba230400-f1f5-4816-b145-7d58e413e2cc,APICheckDataLegal2,null,/request/checkdatalegal2,1.0,admin,CREATED,null,false,,,,,false,,,
4793730e-42e9-4f84-bc8e-ebb1862a8611,ApiGrouplife-LoginAdmin,null,/ApiGrouplife/LoginAdmin,1.0,admin,PUBLISHED,null,false,,,,ApiGrouplife ,false,,,
2d170bf4-23c2-4dd3-8a95-9d0f48f44375,ArnutHWWS,null,/ArnutHWWS,1.0,admin,PUBLISHED,null,false,,,,Claim-Application ,false,,,
7483934b-517f-4492-9b16-239bbf7a7909,ArnutWS,null,/ArnutWS,1.0,admin,CREATED,null,false,,,,,false,,,
e0d20577-b326-444f-9ed5-5c8202664866,atcharaporn,null,/atcharaporn,1.0,admin,PUBLISHED,null,false,,,,Claim-Application DefaultApplication ,false,,,
1bb3f8af-f14f-4a0e-94a2-94d2887af196,AYCAPCallback,null,/AYCAPinstallment/rest,1.0,admin,PUBLISHED,null,false,,,,,false,,,
f2029dc0-04ef-45f5-ba03-d43a1f45172e,BankInfo,null,/BankInfo,1.0,admin,PUBLISHED,null,false,,,,,false,,,
58fb5733-daac-4652-854b-42f2010f0f8c,BankPaymentWS,null,/BankPaymentWS,1.0,admin,CREATED,null,false,,,,,false,,,
565dcbb9-d924-4514-bf38-95e0f573b8d1,BayAPI,null,/TLproBayWS,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
55509e23-e336-45dc-80a8-e41cb95c3ab1,BCP-GWKBANK-04,null,/TLKBankGateway/rest/BCP-GWKBANK-04,1.0,admin,CREATED,null,false,,,,,false,,,
5b7351e4-3131-4b20-9fd9-5b256c29d578,BillPayment,Bill Payment Service,/BillPayment/rest/billpayment,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
d53c1137-412e-487e-ba1c-8a0498488372,billPaymentCIMB,Gen pdf billPaymentCIMB,/billPaymentCIMB/rest/search/cimb/billpayment,1.0,admin,PUBLISHED,null,false,,,,,false,,,
f6482362-a740-4e9a-b16f-a8ae70018260,BranchFilters,null,/DFL_BranchFilters/rest/search/branch,1.0,admin,PUBLISHED,null,false,,,,,false,,,
57b2692f-2837-4237-ae2c-dddeb8e166e8,BranchInfoCIMB,Get branch data,/apiCIMBBranch/rest/search/cimb/branchinfo,1.0,Admin,PUBLISHED,null,false,,,,,false,,,
40644980-fb05-4ec2-ac67-aaa02e8e714f,CallEReceiptService,null,/CallEReceiptService/rest/service,1.0,admin,PUBLISHED,null,false,,,,,false,,,
61ca0d36-7f1e-4831-84a9-2854afaf1d26,CallEReceiptService5,null,/CallEReceiptService5/rest/service,1.0,admin,CREATED,null,false,,,,,false,,,
9d630156-6fbf-425f-bd84-8131e968efc9,CalPOS,null,/calPos/calPos10,1.0,admin,PUBLISHED,null,false,,,,CoreDDCX  ,false,,,
376c1ed6-dbc9-4c97-8f72-54fd9681c328,CalPOS-CalculateBenefitCashNotRecieved,null,/CalPOS/calculate/calculateBenefit/cashNotRecieved,1.0,admin,PUBLISHED,null,false,,,,,false,,,
e17cfb88-71f6-40fc-9c4e-f10a7e475b22,CalPOS-CalculateBenefitCashRecived,null,/CalPOS/calculate/calculateBenefit/cashRecived,1.0,admin,PUBLISHED,null,false,,,,,false,,,
20e65488-2f3c-48d6-8427-24b8fa2e51ed,CalPOS-CalculateBenefitCashReturnComplete,null,/CalPOS/calculate/calculateBenefit/cashReturnComplete,1.0,admin,PUBLISHED,null,false,,,,,false,,,
ff878f8d-5bea-439d-ac7b-7e71fca22ab8,CalPOS-CalculateBenefitContactNotRecieved,null,/CalPOS/calculate/calculateBenefit/contactNotRecieved,1.0,admin,PUBLISHED,null,false,,,,,false,,,
f2a79852-6154-450a-82d0-8a2c8e6d6164,CalPOS-CalculateCancelExtend,null,/CalPOS/calculate/calculateCancel/extend,1.0,admin,PUBLISHED,null,false,,,,,false,,,
